model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
StackedEnsemble_AllModels_1_AutoML_2_20230614_152551,0.985505,0.143275,0.982989,0.0493514,0.200348,0.0401393,11128,0.035333,StackedEnsemble
XGBoost_3_AutoML_2_20230614_152551,0.984902,0.149408,0.98203,0.0520145,0.204155,0.0416794,3232,0.005107,XGBoost
XGBoost_grid_1_AutoML_2_20230614_152551_model_3,0.983793,0.156356,0.980694,0.0548047,0.209368,0.0438348,4501,0.006732,XGBoost
XGBoost_2_AutoML_2_20230614_152551,0.982724,0.162694,0.978854,0.0535717,0.20925,0.0437854,4320,0.005125,XGBoost
StackedEnsemble_BestOfFamily_1_AutoML_2_20230614_152551,0.982611,0.156477,0.978842,0.0542099,0.20971,0.0439781,5907,0.017215,StackedEnsemble
XGBoost_grid_1_AutoML_2_20230614_152551_model_2,0.982375,0.157864,0.978612,0.0548649,0.210492,0.0443068,3040,0.00504,XGBoost
XGBoost_grid_1_AutoML_2_20230614_152551_model_1,0.981783,0.165375,0.976569,0.0518374,0.209063,0.0437075,3236,0.005247,XGBoost
XGBoost_1_AutoML_2_20230614_152551,0.981365,0.165387,0.977261,0.057224,0.213844,0.0457291,3766,0.005596,XGBoost
GBM_4_AutoML_2_20230614_152551,0.97758,0.18634,0.972814,0.0664032,0.230334,0.0530538,11571,0.013243,GBM
GBM_grid_1_AutoML_2_20230614_152551_model_2,0.977571,0.182662,0.972267,0.0657549,0.228542,0.0522315,9619,0.010729,GBM
GBM_3_AutoML_2_20230614_152551,0.976743,0.187131,0.970923,0.0674056,0.231056,0.0533868,10493,0.010753,GBM
GBM_5_AutoML_2_20230614_152551,0.976592,0.188836,0.972063,0.0688091,0.232333,0.0539785,8122,0.010657,GBM
GBM_1_AutoML_2_20230614_152551,0.976377,0.18866,0.97037,0.0710746,0.233567,0.0545536,19283,0.014199,GBM
GBM_2_AutoML_2_20230614_152551,0.976257,0.18911,0.971801,0.0678667,0.232708,0.054153,9355,0.010275,GBM
GBM_grid_1_AutoML_2_20230614_152551_model_1,0.97455,0.196901,0.967093,0.0696345,0.235476,0.0554492,11197,0.010034,GBM
DRF_1_AutoML_2_20230614_152551,0.966402,0.267945,0.959885,0.0825295,0.274651,0.0754331,9542,0.011397,DRF
XRT_1_AutoML_2_20230614_152551,0.96433,0.278024,0.955988,0.0875684,0.280931,0.0789223,9684,0.01084,DRF
DeepLearning_1_AutoML_2_20230614_152551,0.944293,0.585322,0.926723,0.102154,0.413701,0.171148,2230,0.007283,DeepLearning
DeepLearning_grid_3_AutoML_2_20230614_152551_model_1,0.924404,1.12964,0.916837,0.118578,0.477329,0.227843,63225,0.021092,DeepLearning
DeepLearning_grid_2_AutoML_2_20230614_152551_model_1,0.897709,1.71119,0.837578,0.122631,0.481688,0.232023,77157,0.017477,DeepLearning
