model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
StackedEnsemble_AllModels_1_AutoML_1_20230622_152146,0.993682,0.0974421,0.993101,0.0350047,0.165102,0.0272586,11409,0.045128,StackedEnsemble
StackedEnsemble_BestOfFamily_1_AutoML_1_20230622_152146,0.993028,0.101716,0.992302,0.0369117,0.168763,0.0284811,6844,0.019966,StackedEnsemble
XGBoost_3_AutoML_1_20230622_152146,0.992434,0.105561,0.991686,0.0376818,0.172064,0.0296059,4684,0.004399,XGBoost
XGBoost_grid_1_AutoML_1_20230622_152146_model_3,0.992022,0.106885,0.991028,0.0371086,0.17236,0.0297079,6259,0.006517,XGBoost
XGBoost_grid_1_AutoML_1_20230622_152146_model_2,0.991871,0.108348,0.990688,0.0405711,0.174948,0.0306067,3408,0.005566,XGBoost
XGBoost_grid_1_AutoML_1_20230622_152146_model_1,0.991846,0.115807,0.991162,0.0409378,0.182292,0.0332302,4260,0.006353,XGBoost
XGBoost_1_AutoML_1_20230622_152146,0.991616,0.111504,0.9905,0.0411252,0.177387,0.0314663,3698,0.005814,XGBoost
XGBoost_2_AutoML_1_20230622_152146,0.991275,0.115056,0.989804,0.0398003,0.179144,0.0320926,4099,0.007273,XGBoost
GBM_1_AutoML_1_20230622_152146,0.99115,0.116731,0.990422,0.0440211,0.183587,0.0337043,25315,0.01736,GBM
GBM_grid_1_AutoML_1_20230622_152146_model_2,0.990885,0.119486,0.990056,0.0434252,0.185221,0.0343069,15890,0.014614,GBM
GBM_3_AutoML_1_20230622_152146,0.990135,0.123702,0.989117,0.0453505,0.188957,0.0357048,14699,0.012174,GBM
GBM_4_AutoML_1_20230622_152146,0.989899,0.127209,0.989221,0.0476373,0.191834,0.0368002,16550,0.01105,GBM
GBM_2_AutoML_1_20230622_152146,0.989751,0.125016,0.988719,0.046294,0.188756,0.0356287,12797,0.015875,GBM
GBM_5_AutoML_1_20230622_152146,0.989371,0.127939,0.988229,0.0468811,0.191299,0.0365952,16490,0.013344,GBM
GBM_grid_1_AutoML_1_20230622_152146_model_1,0.988825,0.134131,0.988018,0.0499527,0.196993,0.0388063,18523,0.013052,GBM
XRT_1_AutoML_1_20230622_152146,0.97741,0.25893,0.974376,0.0746037,0.268101,0.0718781,12225,0.009849,DRF
DRF_1_AutoML_1_20230622_152146,0.97714,0.252892,0.974529,0.0776386,0.265773,0.0706351,12762,0.01205,DRF
DeepLearning_1_AutoML_1_20230622_152146,0.940639,0.36036,0.926794,0.127811,0.312272,0.0975141,2595,0.007415,DeepLearning
DeepLearning_grid_2_AutoML_1_20230622_152146_model_1,0.927246,0.865636,0.899461,0.135474,0.378821,0.143506,76408,0.015524,DeepLearning
DeepLearning_grid_3_AutoML_1_20230622_152146_model_1,0.9179,1.41176,0.912377,0.133511,0.534267,0.285441,75628,0.027321,DeepLearning
